interval_begin_s,interval_end_s,interval_begin_hhmm,edge_id,speed_mean_ms,speed_min_ms,speed_max_ms,speed_std_ms,density_mean_vkl,density_min_vkl,density_max_vkl,density_std_vkl,n_runs
36000.0,36900.0,10:00,2541944#2,8.6650,8.5800,8.7500,0.1202,0.2550,0.2500,0.2600,0.0071,2
36000.0,36900.0,10:00,2541944#3,9.0550,9.0200,9.0900,0.0495,0.3700,0.3700,0.3700,0.0000,2
36000.0,36900.0,10:00,2541944#5,9.0600,9.0200,9.1000,0.0566,0.3700,0.3700,0.3700,0.0000,2
36000.0,36900.0,10:00,2541944#6,9.0600,9.0200,9.1000,0.0566,0.3700,0.3700,0.3700,0.0000,2
36000.0,36900.0,10:00,2541944#7,8.6700,8.5800,8.7600,0.1273,0.6300,0.6200,0.6400,0.0141,2
36000.0,36900.0,10:00,2541944#8,8.4200,8.2900,8.5500,0.1838,0.5300,0.5200,0.5400,0.0141,2
36000.0,36900.0,10:00,2541944#9,8.4200,8.2900,8.5500,0.1838,0.5300,0.5200,0.5400,0.0141,2
36000.0,36900.0,10:00,2543134#1,12.9100,11.9400,13.8800,1.3718,0.0850,0.0800,0.0900,0.0071,2
36000.0,36900.0,10:00,2543332#0,8.3200,7.9100,8.7300,0.5798,0.2650,0.2500,0.2800,0.0212,2
36000.0,36900.0,10:00,2543332#1,8.3200,7.9100,8.7300,0.5798,0.2650,0.2500,0.2800,0.0212,2
36000.0,36900.0,10:00,2543333,13.8900,13.8900,13.8900,0.0000,0.0800,0.0800,0.0800,0.0000,2
36000.0,36900.0,10:00,2544438#2,12.9350,11.9800,13.8900,1.3506,0.0850,0.0800,0.0900,0.0071,2
